آ	N$آ+SG#
آئین	N$آئین+SG#
آئینش	N$آئین+SG PRO3SG#
آئینم	N$آئین+SG PRO1SG#SG COP1SG#
آئینه	N$آئینه+SG#
آئینه‌ام	N$آئینه+SG PRO1SG#SG COP1SG#
آئینه‌ای	N$آئینه+SG COP2SG#
آئینه‌ها	N$آئینه+PL#
آئینه‌ی	N$آئینه+SG EZ#SG COP2SG#
آئینی	N$آئین+SG YEH#SG COP2SG#
آب	N$آب+SG#
آبا	N$اب+PL#
آباء	N$آباء+SG#اب+PL#
آبائی	N$اب+PL YEH#
آباد	AJ$آباد+POS#
آبادان	N$آبادان+SG#
آبادانش	N$آبادان+SG PRO3SG#
آبادانند	N$آبادان+SG COP3PL#
آبادانی	N$آبادانی+SG#آبادان+SG YEH#SG COP2SG#
آبادت	AJ$آباد+POS PRO2SG#
آبادتر	AJ$آباد+COMP#
آبادست	AJ$آباد+POS COP3SG#
آبادش	AJ$آباد+POS PRO3SG#
آبادم	AJ$آباد+POS COP1SG#POS PRO1SG#
آبادند	AJ$آباد+POS COP3PL#
آبادگان	N$آباده+PL#
آبادی	AJ$آباد+POS COP2SG#POS YEH#N$آبادی+SG#
آبادیان	N$آبادی+PL#
آبادیم	AJ$آباد+POS COP1PL#POS YEH COP1SG#N$آبادی+SG COP1SG#
آبار	N$بئر+PL#
آباست	N$اب+PL COP3SG#
آبان	N$آبان+SG#آب+PL#
آبانش	N$آبان+SG PRO3SG#آب+PL PRO3SG#
آبانها	N$آبان+PL#
آبانی	N$آبان+SG YEH#SG COP2SG#آب+PL YEH#PL COP2SG#
آبان‌ها	N$آبان+PL#
آبای	N$اب+PL COP2SG#PL EZ#
آبت	N$آب+SG PRO2SG#
آبتان	N$آب+SG PRO2PL#
آبخانه	N$آبخانه+SG#
آبخور	N$آبخور+SG#
آبخورت	N$آبخور+SG PRO2SG#
آبخورد	N$آبخورد+SG#
آبخوردش	N$آبخورد+SG PRO3SG#
آبخوردی	N$آبخورد+SG YEH#SG COP2SG#
آبداده	AJ$آبداده+POS#
آبدار	AJ$آبدار+POS#N$آبدار+SG#
آبدارت	AJ$آبدار+POS PRO2SG#N$آبدار+SG PRO2SG#
آبدارست	AJ$آبدار+POS COP3SG#N$آبدار+SG COP3SG#
آبدارش	AJ$آبدار+POS PRO3SG#N$آبدار+SG PRO3SG#
آبدارم	AJ$آبدار+POS COP1SG#POS PRO1SG#N$آبدار+SG PRO1SG#SG COP1SG#
آبداری	AJ$آبدار+POS COP2SG#POS YEH#N$آبدار+SG YEH#SG COP2SG#آبداری+SG#
آبدان	N$آبدان+SG#
آبدانی	N$آبدان+SG YEH#SG COP2SG#
آبدست	AJ$آبدست+POS#N$آبدست+SG#
آبدستان	N$آبدست+PL#آبدستان+SG#
آبدستم	AJ$آبدست+POS COP1SG#POS PRO1SG#N$آبدست+SG PRO1SG#SG COP1SG#
آبدستی	AJ$آبدست+POS COP2SG#POS YEH#N$آبدست+SG YEH#SG COP2SG#آبدستی+SG#
آبدندانم	N$آبدندان+SG PRO1SG#SG COP1SG#
آبده	N$آبده+SG#
آبرا	N$آب+SG POSTP#
آبرو	N$آبرو+SG#
آبروئی	N$آبرو+SG YEH#
آبروان	N$آبرو+PL#
آبروی	N$آبرو+SG EZ#SG COP2SG#
آبرویت	N$آبرو+SG PRO2SG#
آبرویش	N$آبرو+SG PRO3SG#
آبرویم	N$آبرو+SG COP1PL#SG PRO1SG#
آبرویی	N$آبرو+SG YEH#
آبریز	N$آبریز+SG#
آبریزی	N$آبریز+SG YEH#SG COP2SG#
آبست	N$آبست+SG#آب+SG COP3SG#
آبستان	N$آبست+PL#
آبستست	N$آبست+SG COP3SG#
آبستن	AJ$آبستن+POS#
آبستنتان	AJ$آبستن+POS PRO2PL#
آبستنست	AJ$آبستن+POS COP3SG#
آبستنش	AJ$آبستن+POS PRO3SG#
آبستنم	AJ$آبستن+POS COP1SG#POS PRO1SG#
آبستنند	AJ$آبستن+POS COP3PL#
آبستنی	AJ$آبستن+POS COP2SG#POS YEH#N$آبستنی+SG#
آبستنیم	AJ$آبستن+POS COP1PL#POS YEH COP1SG#N$آبستنی+SG COP1SG#
آبستنی‌ست	AJ$آبستن+POS YEH COP3SG#N$آبستنی+SG COP3SG#
آبستنی‌ها	N$آبستنی+PL#
آبستن‌ست	AJ$آبستن+POS COP3SG#
آبستی	N$آبست+SG YEH#SG COP2SG#
آبش	N$آبش+SG#آب+SG PRO3SG#
آبشار	N$آبشار+SG#
آبشان	N$آبش+PL#آب+SG PRO3PL#
آبشخور	N$آبشخور+SG#
آبشخورت	N$آبشخور+SG PRO2SG#
آبشخورست	N$آبشخور+SG COP3SG#
آبشخورش	N$آبشخور+SG PRO3SG#
آبشخورم	N$آبشخور+SG PRO1SG#SG COP1SG#
آبشخوری	N$آبشخور+SG YEH#SG COP2SG#
آبله	N$آبله+SG#
آبله‌ای	N$آبله+SG COP2SG#
آبله‌ی	N$آبله+SG EZ#SG COP2SG#
آبم	N$آب+SG PRO1SG#SG COP1SG#
آبمی	N$آب+SG PRO1SG COP2SG#SG PRO1SG YEH#
آبناک	AJ$آبناک+POS#
آبناکی	AJ$آبناک+POS COP2SG#POS YEH#
آبند	N$آب+SG COP3PL#
آبنوس	N$آبنوس+SG#
آبنوست	N$آبنوس+SG PRO2SG#
