آباد	AJ$آباد+POS
آبادت	AJ$آباد+POS PRO2SG
آبادتر	AJ$آباد+COMP
آبادست	AJ$آباد+POS COP3SG
آبادش	AJ$آباد+POS PRO3SG
آبادم	AJ$آباد+POS PRO1SG#POS COP1SG
آبادند	AJ$آباد+POS COP3PL
آبادی	AJ$آباد+POS YEH#POS COP2SG
آبادیم	AJ$آباد+POS COP1PL#POS YEH COP1SG
آبداده	AJ$آبداده+POS
آبدار	AJ$آبدار+POS
آبدارت	AJ$آبدار+POS PRO2SG
آبدارست	AJ$آبدار+POS COP3SG
آبدارش	AJ$آبدار+POS PRO3SG
آبدارم	AJ$آبدار+POS PRO1SG#POS COP1SG
آبداری	AJ$آبدار+POS YEH#POS COP2SG
آبدست	AJ$آبدست+POS
آبدستم	AJ$آبدست+POS PRO1SG#POS COP1SG
آبدستی	AJ$آبدست+POS YEH#POS COP2SG
آبستن	AJ$آبستن+POS
آبستنتان	AJ$آبستن+POS PRO2PL
آبستنست	AJ$آبستن+POS COP3SG
آبستنش	AJ$آبستن+POS PRO3SG
آبستنم	AJ$آبستن+POS PRO1SG#POS COP1SG
آبستنند	AJ$آبستن+POS COP3PL
آبستنی	AJ$آبستن+POS YEH#POS COP2SG
آبستنیم	AJ$آبستن+POS COP1PL#POS YEH COP1SG
آبستنی‌ست	AJ$آبستن+POS YEH COP3SG
آبستن‌ست	AJ$آبستن+POS COP3SG
آبناک	AJ$آبناک+POS
آبناکی	AJ$آبناک+POS YEH#POS COP2SG
آبکی	AJ$آبکی+POS
آبگون	AJ$آبگون+POS
آبگونم	AJ$آبگون+POS PRO1SG#POS COP1SG
آبگونی	AJ$آبگون+POS YEH#POS COP2SG
آبگون‌ست	AJ$آبگون+POS COP3SG
آبگیر	AJ$آبگیر+POS
آبگیرست	AJ$آبگیر+POS COP3SG
آبگیرش	AJ$آبگیر+POS PRO3SG
آبگیری	AJ$آبگیر+POS YEH#POS COP2SG
آبگین	AJ$آبگین+POS
آبگینست	AJ$آبگین+POS COP3SG
آبگینش	AJ$آبگین+POS PRO3SG
آبی	AJ$آبی+POS
آبیت	AJ$آبی+POS PRO2SG
آبیست	AJ$آبی+POS COP3SG
آبیش	AJ$آبی+POS PRO3SG
آبیم	AJ$آبی+POS PRO1SG#POS COP1SG
آبیی	AJ$آبی+POS EZ#POS COP2SG
آبی‌ای	AJ$آبی+POS COP2SG
آبی‌ست	AJ$آبی+POS COP3SG
آب‌شور	AJ$آب‌شور+POS
آب‌گون	AJ$آب‌گون+POS
آب‌گیر	AJ$آب‌گیر+POS
آتشبار	AJ$آتشبار+POS
آتشگون	AJ$آتشگون+POS
آتشی	AJ$آتشی+POS
آتشیت	AJ$آتشی+POS PRO2SG
آتشیست	AJ$آتشی+POS COP3SG
آتشیش	AJ$آتشی+POS PRO3SG
آتشیم	AJ$آتشی+POS PRO1SG#POS COP1SG
آتشیی	AJ$آتشی+POS EZ#POS COP2SG
آتشی‌اند	AJ$آتشی+POS COP3PL
آتشی‌ست	AJ$آتشی+POS COP3SG
آتش‌افروز	AJ$آتش‌افروز+POS
آتش‌بار	AJ$آتش‌بار+POS
آتش‌زای	AJ$آتش‌زا+POS EZ#POS COP2SG
آتش‌زبان	AJ$آتش‌زبان+POS
آتش‌فشانی	AJ$آتش‌فشانی+POS
آتش‌پا	AJ$آتش‌پا+POS
آتش‌پرست	AJ$آتش‌پرست+POS
آتش‌پرستی	AJ$آتش‌پرست+POS YEH#POS COP2SG
آتش‌گون	AJ$آتش‌گون+POS
آتی	AJ$آتی+POS
آجل	AJ$آجل+POS
آجلست	AJ$آجل+POS COP3SG
آجلش	AJ$آجل+POS PRO3SG
آجیده	AJ$آجیده+POS
آخته	AJ$آخته+POS
آخته‌ای	AJ$آخته+POS COP2SG
آخته‌ست	AJ$آخته+POS COP3SG
آخر	AJ$آخر+POS
آخراندیشی	AJ$آخراندیش+POS YEH#POS COP2SG
آخربین	AJ$آخربین+POS
آخربینت	AJ$آخربین+POS PRO2SG
آخربین‌تر	AJ$آخربین+COMP
آخرت	AJ$آخر+POS PRO2SG
آخرتر	AJ$آخر+COMP
آخرترین	AJ$آخر+SUP
آخرتست	AJ$آخر+POS PRO2SG COP3SG
آخرتیم	AJ$آخر+POS PRO2SG YEH COP1SG#POS PRO2SG COP1PL
آخرست	AJ$آخر+POS COP3SG
آخرش	AJ$آخر+POS PRO3SG
آخرم	AJ$آخر+POS PRO1SG#POS COP1SG
آخرند	AJ$آخر+POS COP3PL
آخری	AJ$آخر+POS YEH#POS COP2SG*آخری+POS
آخریت	AJ$آخری+POS PRO2SG
آخریست	AJ$آخر+POS YEH COP3SG*آخری+POS COP3SG
آخرین	AJ$آخرین+POS
آخرینش	AJ$آخرین+POS PRO3SG
آدمی	AJ$آدمی+POS
آدمیت	AJ$آدمی+POS PRO2SG
آدمیتست	AJ$آدمی+POS PRO2SG COP3SG
آدمیتی	AJ$آدمی+POS PRO2SG YEH#POS PRO2SG COP2SG
آدمیست	AJ$آدمی+POS COP3SG
آدمیش	AJ$آدمی+POS PRO3SG
آدمیم	AJ$آدمی+POS PRO1SG#POS COP1SG
آدمیند	AJ$آدمی+POS COP3PL
آدمیی	AJ$آدمی+POS EZ#POS COP2SG
آدمی‌ام	AJ$آدمی+POS COP1SG
آدمی‌اند	AJ$آدمی+POS COP3PL
آدمی‌ست	AJ$آدمی+POS COP3SG
آذرگون	AJ$آذرگون+POS
آذری	AJ$آذری+POS
آذریست	AJ$آذری+POS COP3SG
آذرین	AJ$آذرین+POS
آراسته	AJ$آراسته+POS
آراسته‌ام	AJ$آراسته+POS PRO1SG#POS COP1SG
آراسته‌اند	AJ$آراسته+POS COP3PL
آراسته‌ای	AJ$آراسته+POS COP2SG
آراسته‌تر	AJ$آراسته+COMP
آراسته‌ست	AJ$آراسته+POS COP3SG
آراسته‌ی	AJ$آراسته+POS EZ#POS COP2SG
آرام	AJ$آرام+POS
آرامت	AJ$آرام+POS PRO2SG
آرامتان	AJ$آرام+POS PRO2PL
آرامست	AJ$آرام+POS COP3SG
آرامش	AJ$آرام+POS PRO3SG
آرامشان	AJ$آرام+POS PRO3PL
آرامشی	AJ$آرام+POS PRO3SG COP2SG#POS PRO3SG YEH
آرامم	AJ$آرام+POS PRO1SG#POS COP1SG
آرامی	AJ$آرامی+POS*آرام+POS YEH#POS COP2SG
آرامید	AJ$آرام+POS COP2PL
آرامیده	AJ$آرامیده+POS
آرامیده‌ام	AJ$آرامیده+POS PRO1SG#POS COP1SG
آرایشی	AJ$آرایشی+POS
آردی	AJ$آردی+POS
آرزومند	AJ$آرزومند+POS
آرزومندست	AJ$آرزومند+POS COP3SG
آرزومندش	AJ$آرزومند+POS PRO3SG
آرزومندم	AJ$آرزومند+POS PRO1SG#POS COP1SG
آرزومندی	AJ$آرزومند+POS YEH#POS COP2SG
آرزومندیم	AJ$آرزومند+POS COP1PL#POS YEH COP1SG
آرمیده	AJ$آرمیده+POS
آرمیده‌ام	AJ$آرمیده+POS PRO1SG#POS COP1SG
آرمیده‌اند	AJ$آرمیده+POS COP3PL
آرمیده‌ای	AJ$آرمیده+POS COP2SG
آرمیده‌ایم	AJ$آرمیده+POS COP1PL
آرمیده‌تر	AJ$آرمیده+COMP
آرمیده‌ست	AJ$آرمیده+POS COP3SG
آرمیده‌ی	AJ$آرمیده+POS EZ#POS COP2SG
آرو	AJ$آرو+POS
آزاد	AJ$آزاد+POS
آزادت	AJ$آزاد+POS PRO2SG
آزادتر	AJ$آزاد+COMP
آزادست	AJ$آزاد+POS COP3SG
آزادش	AJ$آزاد+POS PRO3SG
آزادشان	AJ$آزاد+POS PRO3PL
آزادم	AJ$آزاد+POS PRO1SG#POS COP1SG
آزادمرد	AJ$آزادمرد+POS
