آبشت	آبش
آجد	آج
آجست	
آجید	آجین
آخت	آز
آراماند	آرامان
آرامانید	آرامان
آرامید	آرام
آرمید	آرام
آزارد	آزار
آزد	آز
آزرد	آزار
آزما‌یید	آزما‌ی
آزند	آزن
آشامید	آشام
آشفت	آشوب
آشوباند	آشوبان
آشوبید	آشوب
آشورد	آشور
آشوفت	آشوب
آشکوخید	آشکوخ
آشیبید	آشیب
آغارد	آغار
آغارید	آغار
آغازید	آغاز
آغالاند	آغالان
آغالید	آغال
آغشت	آغار
آغند	آغن
آغوشید	آغوش
آفرید	آفرین
آفرین	آفرید
آفندید	آفند
آلفت	آلف
آمارد	آمار
آماسید	آماس
آماهید	آماه
آمخت	آمز
آمرزید	آمرز
آموخت	آموز
آموزاند	آموزان
آموزید	آموز
آمیخت	آمیز
آمیغد	آمیز
آهخت	آهز
آهنجید	آهنج
آهیخت	آهنج
آهیخت	آهیز
آورد	آر
آورد	آور
آویخت	آویز
آچارد	آچاردن
آژد	آژین
آژند	آژن
آژید	آژ
آکند	آکن
آگاهاند	آگاهان
آگاهانید	آگاهان
آگاهید	آگاه
آگشت	آگرد
آگند	آگن
اخت	از
ارزید	ارز
ارزید	لرز
استاند	استان
استانید	استان
استد	استان
استرد	استر
استید	است
اسپارد	اسپار
اسپرد	اسپر
اشناخت	اشناس
اشپیخت	اشپیز
اشکرد	اشکر
اشکست	اشکن
افتاد	افت
افتید	افت
افراخت	افراز
افرازید	افراز
افراشت	افراز
افرندید	افرند
افروخت	افروز
افروزاند	افروزان
افروزید	افروز
افسرد	افسر
افشارد	افشار
افشاند	افشان
افشرد	افشر
افژولید	افژول
افکند	افکن
الفاخت	الفاز
الفخت	الفز
الفغد	
الفنجید	الفنج
انبازید	انباز
انباشت	انبار
انباشت	انباز
انبوسید	انبوس
انجامید	انجام
انجید	انج
انجیرد	انجیر
انداخت	انداز
اندخسید	اندخس
اندرآمد	آندرآ
اندرآمد	آندرآی
اندرآورد	آندرآور
اندرخورد	اندرخور
اندرشد	اندرشو
اندرماند	اندرمان
اندرنهاد	اندرنه
اندرنوشت	اندرنویس
اندرچمید	اندرچم
اندرکرد	اندرکن
اندرکشید	اندرکش
اندرگذاشت	اندرگذار
اندرگذشت	اندرگذر
اندرگرفت	اندرگیر
اندریافت	اندریاب
اندوخت	اندوز
اندوزید	اندوز
اندیشید	اندیش
انگارد	انگار
انگاشت	انگار
انگیخت	انگیز
انگیزاند	انگیزان
اوبارد	اوبار
اوباشت	اوبار
اوبرد	اوبر
اورندید	اورند
اوشاند	اوشان
اوفتاد	اوفت
اوفتید	اوفت
اوژند	اوژن
اوکند	اوکن
اوگند	اوگن
ایستاد	ایست
ایستاند	ایستان
ایستید	ایست
باخت	باز
باراند	باران
بارید	بار
بازآفرید	بازآفرین
بازآمد	بازآ
بازآموخت	بازآموز
بازآورد	بازآور
بازایستاد	بازایست
بازتابید	بازتاب
بازخواست	بازخواه
بازخواند	بازخوان
بازخوراند	بازخوران
بازداد	بازده
بازداشت	بازدار
بازرساند	بازرسان
بازرسانید	بازرسان
باززد	باززن
بازستاند	بازستان
بازشمارد	بازشمار
بازشمرد	بازشمر
بازشناخت	بازشناس
بازشناساند	بازشناسان
بازفرستاد	بازفرست
بازماند	بازمان
بازنشست	بازنشین
بازنمایاند	بازنمایان
بازنهاد	بازنه
بازنگریست	بازنگر
بازپرسید	بازپرس
بازگذارد	بازگذار
بازگذاشت	بازگذار
بازگرداند	بازگردان
بازگردانید	بازگردان
بازگردید	بازگرد
بازگرفت	بازگیر
بازگشت	بازگرد
بازیافت	بازیاب
بازید	باز
باشید	باش
بافت	باف
بافید	باف
بالید	بال
باوراند	باوران
بایست	باید
بخسانید	بخسان
بخسید	بخس
بخشید	بخش
بدن	
برآشفت	برآشوب
برآغالید	برآغال
برآمد	برآ
برآمد	برآی
برآمیخت	برآمیز
برآهیخت	برآهیز
برآورد	برآور
برازید	براز
برافتاد	برافت
برافراخت	برافراز
برافراشت	برافراز
برافروخت	برافروز
برافشاند	برافشان
برافکند	برافکن
برانداخت	برانداز
برانگیخت	برانگیز
برانگیزاند	برانگیزان
براویخت	براویز
بربرد	بربر
بربست	بربند
برتاباند	برتابان
برتابید	برتاب
برتافت	برتاب
برتاوید	برتاو
برتنید	برتن
برتپید	برتپ
برجهید	برجه
برخاست	برخیز
برخواست	برخواه
برخورد	برخور
برخیزاند	برخیزان
برد	بر
برداد	برده
برداشت	بردار
بردفسانید	بردفسان
بردفسید	بردفس
بردماند	بردمان
بردمید	بردم
بردوخت	بردوز
بردید	بربین
بررسید	بررس
بررفت	بررو
برزد	برزن
برزید	برز
برساخت	برساز
برسخت	برسز
برسکیزید	برسکیز
برشت	برش
برشد	برشو
برشمارد	برشمار
برشمرد	برشمر
برشکست	برشکن
برغلنبید	برغلنب
برفروخت	برفروز
برفشاند	برفشان
برماسید	برماس
برمالید	برمال
برمچید	برمچ
برنشاند	برنشان
برنشانید	برنشان
برنشست	برنشین
برنهاد	برنه
برنوردید	برنورد
برنوشت	برنویس
برهیخت	برهیز
برچد	برچن
برچید	برچین
برکت‌د	برکن
برکرد	برکن
برکشید	برکش
برکند	برکن
برگاشت	برگرد
برگذاشت	برگذار
برگذشت	برگذر
برگرداند	برگردان
برگردانید	برگردان
برگردید	برگرد
برگرفت	برگیر
برگزید	برگزین
برگشت	برگرد
برگمارد	برگمار
برگمارید	برگمار
برگماشت	برگمار
برید	بر
بزید	بز
بسارد	بسار
بست	بند
بسود	بساو
بسیجید	بسیج
بسید	بس
بسیچید	بسیچ
بشلید	بشل
بشولاند	بشولان
بشولید	بشول
بشکلید	بشکل
بلعید	بلع
بود	است
بود	باش
بود	بو
بود	هست
بوسید	بوس
بیخت	بیز
بیزید	بیز
تاباند	تابان
تابید	تاب
تابید	تاو
تاخت	تاز
تاراند	تاران
تازاند	تازان
تازید	تاز
تاسانید	تاسان
تاسید	تاس
تافت	تاب
تاواند	تاوان
تاوست	تاو
تاوید	تاو
تبسید	تبس
تخشید	تخش
تراببید	تراب
ترازید	تراز
تراشاند	تراشان
تراشید	تراش
تراواند	تراوان
تراوید	تراو
ترساند	ترسان
ترسانید	ترسان
ترسید	ترس
ترشاند	ترشان
