آ	N$آ+SG
آئین	N$آئین+SG
آئینش	N$آئین+SG PRO3SG
آئینم	N$آئین+SG COP1SG#SG PRO1SG
آئینه	N$آئینه+SG
آئینه‌ام	N$آئینه+SG COP1SG#SG PRO1SG
آئینه‌ای	N$آئینه+SG COP2SG
آئینه‌ها	N$آئینه+PL
آئینه‌ی	N$آئینه+SG COP2SG#SG EZ
آئینی	N$آئین+SG YEH#SG COP2SG
آب	N$آب+SG
آباء	N$آباء+SG
آبادان	N$آبادان+SG
آبادانش	N$آبادان+SG PRO3SG
آبادانند	N$آبادان+SG COP3PL
آبادانی	N$آبادانی+SG*آبادان+SG YEH#SG COP2SG
آبادگان	N$آباده+PL
آبادی	N$آبادی+SG
آبادیان	N$آبادی+PL
آبادیت	N$آبادی+SG PRO2SG
آبادیش	N$آبادی+SG PRO3SG
آبادیم	N$آبادی+SG COP1SG#SG PRO1SG
آبان	N$آب+PL*آبان+SG
آبانش	N$آب+PL PRO3SG*آبان+SG PRO3SG
آبانها	N$آبان+PL
آبانی	N$آب+PL YEH#PL COP2SG*آبان+SG YEH#SG COP2SG
آبان‌ها	N$آبان+PL
آبت	N$آب+SG PRO2SG
آبتان	N$آب+SG PRO2PL
آبخانه	N$آبخانه+SG
آبخور	N$آبخور+SG
آبخورت	N$آبخور+SG PRO2SG
آبخورد	N$آبخورد+SG
آبخوردش	N$آبخورد+SG PRO3SG
آبخوردی	N$آبخورد+SG YEH#SG COP2SG
آبدار	N$آبدار+SG
آبدارت	N$آبدار+SG PRO2SG
آبدارست	N$آبدار+SG COP3SG
آبدارش	N$آبدار+SG PRO3SG
آبدارم	N$آبدار+SG COP1SG#SG PRO1SG
آبداری	N$آبداری+SG*آبدار+SG YEH#SG COP2SG
آبدان	N$آبدان+SG
آبدانی	N$آبدان+SG YEH#SG COP2SG
آبدست	N$آبدست+SG
آبدستان	N$آبدست+PL*آبدستان+SG
آبدستم	N$آبدست+SG COP1SG#SG PRO1SG
آبدستی	N$آبدست+SG YEH#SG COP2SG*آبدستی+SG
آبدندانم	N$آبدندان+SG COP1SG#SG PRO1SG
آبده	N$آبده+SG
آبرا	N$آب+SG POSTP
آبرو	N$آبرو+SG
آبروئی	N$آبرو+SG YEH
آبروان	N$آبرو+PL
آبروشان	N$آبرو+SG PRO3PL
آبروی	N$آبرو+SG COP2SG#SG EZ
آبرویت	N$آبرو+SG PRO2SG
آبرویش	N$آبرو+SG PRO3SG
آبرویم	N$آبرو+SG PRO1SG#SG COP1PL
آبرویی	N$آبرو+SG YEH
آبریز	N$آبریز+SG
آبریزی	N$آبریز+SG YEH#SG COP2SG
آبست	N$آب+SG COP3SG*آبست+SG
آبستان	N$آبست+PL
آبستست	N$آبست+SG COP3SG
آبستنی	N$آبستنی+SG
آبستنیت	N$آبستنی+SG PRO2SG
آبستنیم	N$آبستنی+SG COP1SG#SG PRO1SG
آبستنی‌ست	N$آبستنی+SG COP3SG
آبستنی‌ها	N$آبستنی+PL
آبستی	N$آب+SG COP2SG*آبست+SG YEH#SG COP2SG
آبش	N$آبش+SG*آب+SG PRO3SG
آبشار	N$آبشار+SG
آبشان	N$آبش+PL*آب+SG PRO3PL
آبشخور	N$آبشخور+SG
آبشخورت	N$آبشخور+SG PRO2SG
آبشخورست	N$آبشخور+SG COP3SG
آبشخورش	N$آبشخور+SG PRO3SG
آبشخورم	N$آبشخور+SG COP1SG#SG PRO1SG
آبشخوری	N$آبشخور+SG YEH#SG COP2SG
آبله	N$آبله+SG
آبله‌ای	N$آبله+SG COP2SG
آبله‌ش	N$آبله+SG PRO3SG
آبله‌ی	N$آبله+SG COP2SG#SG EZ
آبم	N$آب+SG COP1SG#SG PRO1SG
آبمی	N$آب+SG PRO1SG COP2SG#SG PRO1SG YEH
آبند	N$آب+SG COP3PL
آبنوس	N$آبنوس+SG
آبنوست	N$آبنوس+SG PRO2SG
آبنوسش	N$آبنوس+SG PRO3SG
آبنوسم	N$آبنوس+SG COP1SG#SG PRO1SG
آبنوسی	N$آبنوس+SG YEH#SG COP2SG*آبنوسی+SG
آبها	N$آب+PL
آبهاست	N$آب+PL COP3SG
آبهای	N$آب+PL EZ#PL COP2SG
آبکش	N$آبک+SG PRO3SG*آبکش+SG
آبکند	N$آبک+SG COP3PL*آبکند+SG
آبکندی	N$آبکند+SG YEH#SG COP2SG
آبکی	N$آبک+SG YEH#SG COP2SG
آبگیر	N$آبگیر+SG
آبگیران	N$آبگیر+PL
آبگیرست	N$آبگیر+SG COP3SG
آبگیرش	N$آبگیر+SG PRO3SG
آبگیرها	N$آبگیر+PL
آبگیرهای	N$آبگیر+PL EZ#PL COP2SG
آبگیری	N$آبگیری+SG*آبگیر+SG YEH#SG COP2SG
آبگینه	N$آبگینه+SG
آبگینه‌ای	N$آبگینه+SG COP2SG
آبگینه‌ست	N$آبگینه+SG COP3SG
آبگینه‌ها	N$آبگینه+PL
آبگینه‌ی	N$آبگینه+SG COP2SG#SG EZ
آبی	N$آب+SG YEH#SG COP2SG*آبی+SG
آبیار	N$آبیار+SG
آبیاری	N$آبیار+SG YEH#SG COP2SG*آبیاری+SG
آبیت	N$آبی+SG PRO2SG
آبیست	N$آب+SG YEH COP3SG*آبی+SG COP3SG
آبیش	N$آبی+SG PRO3SG
آبیم	N$آب+SG COP1PL#SG YEH COP1SG*آبی+SG COP1SG#SG PRO1SG
