آ	INT$آ+
آت	INT$آ+ PRO2SG
آحاد	PRO$آحاد+SG
آحادست	PRO$آحاد+SG COP3SG
آحادم	PRO$آحاد+SG PRO1SG#SG COP1SG
آحادی	PRO$آحاد+SG COP2SG#SG YEH
آحادیم	PRO$آحاد+SG YEH COP1SG#SG COP1PL
آخ	INT$آخ+
آخت	INT$آخ+ PRO2SG
آخر	ADV$آخر+
آخرالامر	ADV$آخرالامر+
آخرالامرم	ADV$آخرالامر+ COP1SG
آخرست	ADV$آخر+ COP3SG
آخرم	ADV$آخر+ COP1SG
آخرند	ADV$آخر+ COP3PL
آخری	ADV$آخر+ COP2SG
آرام	ADV$آرام+
آرامست	ADV$آرام+ COP3SG
آرامم	ADV$آرام+ COP1SG
آرامی	ADV$آرام+ COP2SG
آرامید	ADV$آرام+ COP2PL
آزاد	ADV$آزاد+
آزادست	ADV$آزاد+ COP3SG
آزادم	ADV$آزاد+ COP1SG
آزادند	ADV$آزاد+ COP3PL
آزادوار	ADV$آزادوار+
آزادی	ADV$آزاد+ COP2SG
آزادیم	ADV$آزاد+ COP1PL
آزمایشی	ADV$آزمایشی+
آسوده	ADV$آسوده+
آسوده‌ام	ADV$آسوده+ COP1SG
آسوده‌اند	ADV$آسوده+ COP3PL
آسوده‌ای	ADV$آسوده+ COP2SG
آسوده‌ایم	ADV$آسوده+ COP1PL
آسوده‌ست	ADV$آسوده+ COP3SG
آسوده‌ی	ADV$آسوده+ COP2SG
آش	INT$آ+ PRO3SG
آشکار	ADV$آشکار+
آشکارا	ADV$آشکارا+
آشکاراست	ADV$آشکارا+ COP3SG
آشکارای	ADV$آشکارا+ COP2SG
آشکارست	ADV$آشکار+ COP3SG
آشکارستی	ADV$آشکار+ COP2SG
آشکارم	ADV$آشکار+ COP1SG
آشکاره	ADV$آشکاره+
آشکاره‌ای	ADV$آشکاره+ COP2SG
آشکاری	ADV$آشکار+ COP2SG
آشکاریم	ADV$آشکار+ COP1PL
آفرین	INT$آفرین+
آفرینت	INT$آفرین+ PRO2SG
آفرینش	INT$آفرین+ PRO3SG
آفرینم	INT$آفرین+ PRO1SG
آلو	INT$آلو+
آمین	INT$آمین+
آمینش	INT$آمین+ PRO3SG
آن	PRO$آن+SG
آنا	ADV$آنا+
آنام	ADV$آنا+ COP1SG
آنان	PRO$آن+PL*آنان+SG
