آ	V$آمد+IMP 2SG
آبش	V$آبشت+IMP 2SG
آت	V$آمد+IMP 2SG PRO2SG
آجام	V$آجد+SUB PRES 1SG
آجیده	V$آجید+PP
آخت	V$آخت+IND PAST 3SG
آختم	V$آخت+IND PAST 3SG PRO1SG#IND PAST 1SG
آختن	V$آخت+INF
آختند	V$آخت+IND PAST 3PL
آخته	V$آخت+PP
آخته‌ای	V$آخت+IND 2SG PERF
آخته‌ست	V$آخت+IND 3SG PERF
آختی	V$آخت+SUB IRRP 3SG#IND PAST 2SG
آختیم	V$آخت+IND PAST 1PL
آدم	V$آمد+IND PRES 3SG PRO1SG
آر	V$آورد+IMP 2SG
آرا	V$آراست+IMP 2SG
آراد	V$آورد+SUB PRES 3SG*آراست+IND PRES 3SG
آراست	V$آراست+IND PAST 3SG
آراستست	V$آراست+IND 3SG PERF
آراستش	V$آراست+IND PAST 3SG PRO3SG
آراستم	V$آراست+IND PAST 3SG PRO1SG#IND PAST 1SG
آراستمی	V$آراست+SUB IRRP 1SG
آراستن	V$آراست+INF
آراستند	V$آراست+IND PAST 3PL
آراستندی	V$آراست+SUB IRRP 3PL
آراسته	V$آراست+PP
آراسته‌ام	V$آراست+IND 1SG PERF#PP PRO1SG
آراسته‌اند	V$آراست+IND 3PL PERF
آراسته‌ای	V$آراست+IND 2SG PERF
آراسته‌ست	V$آراست+IND 3SG PERF
آراستی	V$آراست+SUB IRRP 3SG#IND PAST 2SG
آراستیم	V$آراست+IND PAST 1PL
آرام	V$آورد+SUB PRES 1SG*آرامید+IMP 2SG*آراست+IND PRES 1SG*آرمید+IMP 2SG
آرامت	V$آورد+SUB PRES 1SG PRO2SG*آرامید+IMP 2SG PRO2SG*آراست+IND PRES 1SG PRO2SG*آرمید+IMP 2SG PRO2SG
آرامتان	V$آورد+SUB PRES 1SG PRO2PL*آرامید+IMP 2SG PRO2PL*آراست+IND PRES 1SG PRO2PL*آرمید+IMP 2SG PRO2PL
آرامد	V$آرامید+IND PRES 3SG*آرمید+IND PRES 3SG
آرامش	V$آورد+SUB PRES 1SG PRO3SG*آرامید+IMP 2SG PRO3SG*آراست+IND PRES 1SG PRO3SG*آرمید+IMP 2SG PRO3SG
آرامشان	V$آورد+SUB PRES 1SG PRO3PL*آرامید+IMP 2SG PRO3PL*آراست+IND PRES 1SG PRO3PL*آرمید+IMP 2SG PRO3PL
آرامم	V$آورد+SUB PRES 1SG PRO1SG*آرامید+IMP 2SG PRO1SG#IND PRES 1SG*آراست+IND PRES 1SG PRO1SG*آرمید+IMP 2SG PRO1SG#IND PRES 1SG
آرامی	V$آرامید+IND PRES 2SG*آراست+SUB IRR 1SG*آرمید+IND PRES 2SG
آرامید	V$آرامید+IND PRES 2PL#IND PAST 3SG#IMP 2PL*آرمید+IND PRES 2PL#IMP 2PL
آرامیدم	V$آرامید+IND PAST 1SG#IMP 2PL PRO1SG#IND PRES 2PL PRO1SG#IND PAST 3SG PRO1SG*آرمید+IMP 2PL PRO1SG#IND PRES 2PL PRO1SG
آرامیده	V$آرامید+PP
آرامیده‌ام	V$آرامید+IND 1SG PERF#PP PRO1SG
آرای	V$آورد+SUB PRES 2SG*آراست+IND PRES 2SG#IMP 2SG
آرایت	V$آراست+IMP 2SG PRO2SG
آراید	V$آورد+SUB PRES 2PL*آراست+IND PRES 2PL#IND PRES 3SG#IMP 2PL
آرایش	V$آراست+IMP 2SG PRO3SG
آرایم	V$آورد+SUB PRES 1PL*آراست+IMP 2SG PRO1SG#IND PRES 1SG#IND PRES 1PL
