آمد	آ
آراست	آرا
آزما‌یید	آزما‌
آزمود	آزما
آسایید	آسا
آسود	آسا
آلایید	آلا
آلود	آلا
آماد	آما
آمود	آما
اشنود	اشنو
اشنید	اشنو
افزایید	افزا
افزود	افزا
انبود	انبا
انبویید	انبو
اندایید	اندا
اندود	اندا
بازجست	بازجو
بازگشود	بازگشا
بازگفت	بازگو
بایست	با
بتایید	بتا
بخشود	بخشا
برآسود	برآسا
برافزودن	برافزا
برجست	برجو
بررست	بررو
برفتاد	برفتا
برفزود	برفزا
برهود	برها
برگرایید	برگرا
برگشاد	برگشا
برگشود	برگشا
بویید	بو
جست	جو
جفت	جو
خایید	خا
خسود	خسا
خشود	خشا
درآیید	درآ
درربود	درربا
درنمود	درنما
درود	درا
دروید	درو
ربایید	ربا
ربود	ربا
رست	رو
رویید	رو
زاد	زا
زایید	زا
زدود	زدا
زیست	زی
ستود	ستا
سرایید	سرا
سرود	سرا
سزید	سزا
سود	سا
شایست	شا
شخود	شخا
شست	شو
غنود	غنو
فرانمود	فرانما
فرسود	فرسا
فرمود	فرما
فرونمود	فرونما
فزود	فزا
فلخود	فلخو
مویید	مو
نمود	نما
وانمود	وانما
واگفت	واگو
ویراست	ویرا
پالایید	پالا
پالود	پالا
پایست	پا
پایید	پا
پسود	پسا
پویید	پو
پیراست	پیرا
پیرایید	پیرا
پیمود	پیما
چایید	چا
چفت	چو
گایید	گا
گرایید	گرا
گروید	گرا
گروید	گرو
گریست	گری
گشاد	گشا
گشود	گشا
گفت	گو
